Timestamp,Callsign,BaseCallsign,GridSquare,Frequency,Mode,Baud,Power,Height,Gain,Direction,OperatingHours,ServiceCode
/Date(1623443100000-0000)/,LA1T,LA1T,JO59FE,10145400,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623443100000-0000)/,LA1T,LA1T,JO59FE,10145400,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623447000000-0000)/,LA1T-10,LA1T,JO59FE,144925000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623447000000-0000)/,LA1T-10,LA1T,JO59FE,433725000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623450000000-0000)/,LA2G-10,LA2G,JP50PF,144925000,0,1200,15,25,0,0,00-23,PUBLIC
/Date(1623450000000-0000)/,LA2G-10,LA2G,JP50PF,433725000,0,1200,15,25,0,0,00-23,PUBLIC
/Date(1623444900000-0000)/,LA2K,LA2K,KQ50NI,3596000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444900000-0000)/,LA2K,LA2K,KQ50NI,3596000,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623444900000-0000)/,LA2K,LA2K,KQ50NI,3596000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623444900000-0000)/,LA2K,LA2K,KQ50NI,5274500,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623444900000-0000)/,LA2K,LA2K,KQ50NI,5274500,43,600,100,25,0,0,00-23,PUBLIC
/Date(1623444900000-0000)/,LA2K,LA2K,KQ50NI,5274500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623444900000-0000)/,LA2K,LA2K,KQ50NI,7047000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444900000-0000)/,LA2K,LA2K,KQ50NI,7047000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623444900000-0000)/,LA2K,LA2K,KQ50NI,10147000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444900000-0000)/,LA2K,LA2K,KQ50NI,10147000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623444060000-0000)/,LA2T,LA2T,JP53DK,1844500,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444060000-0000)/,LA2T,LA2T,JP53DK,1844500,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623444060000-0000)/,LA2T,LA2T,JP53DK,3597000,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444060000-0000)/,LA2T,LA2T,JP53DK,3597000,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623444060000-0000)/,LA2T,LA2T,JP53DK,3597000,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623444060000-0000)/,LA2T,LA2T,JP53DK,5271500,13,600,100,25,0,0,00-23,PUBLIC
/Date(1623444060000-0000)/,LA2T,LA2T,JP53DK,5271500,43,600,100,25,0,0,00-23,PUBLIC
/Date(1623444060000-0000)/,LA2T,LA2T,JP53DK,5271500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623444060000-0000)/,LA2T,LA2T,JP53DK,7050500,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444060000-0000)/,LA2T,LA2T,JP53DK,7050500,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623447960000-0000)/,LA2T-10,LA2T,JP53DK,433725000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623444180000-0000)/,LA2U,LA2U,JP43UR,3584500,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623444180000-0000)/,LA2U,LA2U,JP43UR,3584500,41,600,100,25,0,0,00-23,PUBLIC
/Date(1623444180000-0000)/,LA2U,LA2U,JP43UR,3584500,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623444180000-0000)/,LA2U,LA2U,JP43UR,7045000,12,600,100,25,0,0,00-23,PUBLIC
