Date,Open,High,Low,Close,Adj Close,Volume
2020-10-27,28.500000,28.760000,28.299999,28.600000,28.342617,6428500
2020-10-28,28.129999,28.389999,27.520000,27.730000,27.480446,6262100
2020-10-29,27.389999,27.879999,27.180000,27.190001,26.945309,5173100
2020-10-30,27.049999,27.170000,26.670000,26.900000,26.657917,5757800
2020-11-02,27.299999,27.549999,26.719999,27.040001,26.796658,4333500
2020-11-03,27.330000,28.030001,27.330000,27.799999,27.549818,3558500
2020-11-04,28.799999,28.879999,28.040001,28.230000,27.975946,5403600
2020-11-05,28.570000,28.889999,28.360001,28.799999,28.540817,3796700
2020-11-06,29.020000,29.020000,28.530001,28.660000,28.402077,2623000
2020-11-09,29.559999,29.730000,27.690001,27.730000,27.480446,6770000
2020-11-10,27.250000,28.480000,27.120001,28.379999,28.124598,6918700
2020-11-11,28.530001,29.719999,28.469999,29.400000,29.135418,5090000
2020-11-12,29.510000,29.540001,28.790001,29.049999,28.788568,3924100
2020-11-13,29.100000,29.469999,29.100000,29.299999,29.036316,2348200
2020-11-16,29.299999,29.680000,29.090000,29.450001,29.184971,5977100
2020-11-17,28.299999,29.309999,28.250000,29.190001,28.927309,29406700
2020-11-18,29.450001,29.760000,29.290001,29.510000,29.244429,16248300
2020-11-19,29.120001,30.010000,29.120001,29.760000,29.492178,10576200
2020-11-20,29.530001,30.010000,29.520000,29.840000,29.571459,3647100
2020-11-23,29.959999,30.000000,29.650000,29.830000,29.561548,4282700
2020-11-24,30.000000,30.100000,29.860001,29.889999,29.621008,6100900
2020-11-25,30.090000,30.450001,29.980000,30.330000,30.057049,3985400
2020-11-27,30.480000,30.770000,30.330000,30.760000,30.483179,2812900
2020-11-30,30.799999,30.840000,29.959999,30.450001,30.175970,17911700
2020-12-01,30.620001,30.670000,30.290001,30.450001,30.175970,4533000
2020-12-02,30.610001,30.610001,29.889999,30.080000,29.809298,2982200
2020-12-03,30.080000,30.389999,29.940001,30.100000,29.829119,2933100
2020-12-04,30.299999,30.600000,30.080000,30.530001,30.255251,2978700
2020-12-07,30.520000,30.840000,30.480000,30.709999,30.433628,3369500
2020-12-08,30.600000,30.830000,30.090000,30.170000,29.898489,5886500
2020-12-09,30.280001,30.389999,30.070000,30.260000,29.987679,5433400
2020-12-10,30.480000,30.639999,30.059999,30.180000,29.908400,5836800
2020-12-11,30.230000,30.459999,30.010000,30.360001,30.086781,3162800
2020-12-14,30.450001,30.840000,30.150000,30.350000,30.076870,7516200
2020-12-15,30.350000,30.400000,29.990000,30.190001,29.918308,5444100
2020-12-16,30.170000,30.680000,30.170000,30.639999,30.364260,2538500
2020-12-17,30.620001,31.180000,30.620001,31.129999,30.849848,4743800
2020-12-18,31.340000,31.480000,30.520000,30.930000,30.651649,11345200
2020-12-21,30.570000,30.910000,30.379999,30.770000,30.493090,3213200
2020-12-22,30.760000,31.139999,30.670000,31.070000,30.790388,2566900
